Datetime,Wind Speed (m/s),Wind Direction (deg),LV ActivePower (kW),Theoretical_Power_Curve (KWh),Rotor Speed (rpm),Pitch Angle (deg)
2018-01-01 00:00:00,6.7556,359.39,144.3159,879.5039,9.4857,1.1103
2018-01-01 00:10:00,15.7237,359.18,2026.1519,11089.5673,16.701,9.3406
2018-01-01 00:20:00,10.7978,356.06,1284.8552,3591.3454,15.0584,1.8482
2018-01-01 00:30:00,9.1419,359.72,644.2004,2179.5121,12.7651,1.7313
2018-01-01 00:40:00,4.2539,0.51,0.0,219.5856,5.7574,0.7167
2018-01-01 00:50:00,4.2535,6.66,4.0075,219.5352,6.1805,1.2184
2018-01-01 01:00:00,2.6591,9.55,6.4439,53.638,0.0,0.5969
2018-01-01 01:10:00,13.14,8.06,1960.4195,6471.9503,16.4104,2.6514
2018-01-01 01:20:00,9.2045,4.23,656.3,2224.6008,12.6507,1.718
2018-01-01 01:30:00,10.5129,5.88,1170.2717,3314.5373,14.9831,2.4108
2018-01-01 01:40:00,1.6449,7.18,0.0,12.6956,0.1017,0.0
2018-01-01 01:50:00,16.9107,4.06,1970.4176,13795.4563,16.265,12.0359
2018-01-01 02:00:00,12.5885,3.14,2031.8783,5690.7437,16.9792,1.1596
2018-01-01 02:10:00,5.0423,1.16,29.2241,365.7111,7.0447,1.0614
2018-01-01 02:20:00,4.66,0.08,20.2796,288.681,6.3988,0.9725
2018-01-01 02:30:00,4.6804,0.01,24.5627,292.4783,6.4799,0.894
2018-01-01 02:40:00,6.099,358.91,81.8224,647.1764,8.1385,1.1988
2018-01-01 02:50:00,8.4535,2.4,404.0197,1723.3228,11.8869,1.2909
2018-01-01 03:00:00,7.5929,0.34,253.2057,1248.7407,10.2498,1.2408
2018-01-01 03:10:00,6.0589,358.01,55.3456,634.5171,8.3775,1.3895
2018-01-01 03:20:00,9.595,356.28,779.8707,2519.891,13.3283,1.4834
2018-01-01 03:30:00,4.1565,359.37,0.0,204.8513,6.0501,0.7538
2018-01-01 03:40:00,6.0693,2.1,76.6142,637.7683,8.5089,1.5039
2018-01-01 03:50:00,6.887,4.38,156.9102,931.8314,9.8536,1.4435
2018-01-01 04:00:00,8.0274,3.44,322.7479,1475.6254,10.8796,1.4027
2018-01-01 04:10:00,12.2312,1.97,2004.4513,5219.8634,16.7677,0.7956
2018-01-01 04:20:00,5.082,3.69,20.1371,374.4262,7.274,0.8018
2018-01-01 04:30:00,8.6737,2.03,492.543,1861.5016,12.5159,1.7531
2018-01-01 04:40:00,9.5753,3.78,776.5384,2504.3932,13.0636,1.6837
2018-01-01 04:50:00,2.5192,5.2,0.0,45.6069,0.0,0.0598
2018-01-01 05:00:00,10.0043,5.29,946.8772,2856.3793,14.1576,1.9665
2018-01-01 05:10:00,4.8124,16.28,20.6647,317.9372,7.2209,1.3265
2018-01-01 05:20:00,3.0238,16.33,8.8608,78.873,4.3191,0.9483
2018-01-01 05:30:00,16.9246,21.52,2021.7036,13829.6158,16.467,12.5333
2018-01-01 05:40:00,17.9165,25.19,2025.2609,16406.4046,16.4729,15.0076
2018-01-01 05:50:00,12.9575,25.28,2031.9655,6206.012,16.8405,2.6226
2018-01-01 06:00:00,6.6817,24.21,145.7969,850.9707,9.4617,1.2765
2018-01-01 06:10:00,3.7639,20.69,13.5564,152.1107,5.2031,0.3801
2018-01-01 06:20:00,11.2937,22.69,1522.0495,4109.1989,15.4874,2.3094
2018-01-01 06:30:00,8.2656,25.13,385.1475,1610.8944,11.9022,1.9356
2018-01-01 06:40:00,4.1904,23.51,0.0,209.8971,5.7619,1.0974
2018-01-01 06:50:00,8.9057,21.98,531.3643,2014.9156,12.6261,1.852
2018-01-01 07:00:00,2.3662,19.42,0.0,37.7917,0.0,0.5753
2018-01-01 07:10:00,16.1707,21.53,2008.3124,12062.5417,17.1603,10.0073
2018-01-01 07:20:00,6.2783,25.42,67.7519,705.9546,8.5842,1.7237
2018-01-01 07:30:00,11.2773,22.52,1512.6431,4091.3152,16.1916,2.2214
2018-01-01 07:40:00,6.942,19.74,181.9711,954.3296,9.9026,0.7561
2018-01-01 07:50:00,9.4374,19.29,714.228,2397.7966,12.7838,1.8464
2018-01-01 08:00:00,9.9939,21.78,929.8139,2847.4603,14.0651,2.0227
2018-01-01 08:10:00,5.4017,23.29,12.7925,449.6287,8.0594,1.2414
2018-01-01 08:20:00,19.6273,26.84,1985.3417,21569.1507,16.6206,19.0465
2018-01-01 08:30:00,13.3346,19.78,1997.5013,6763.8704,17.2975,3.1634
2018-01-01 08:40:00,17.7654,18.38,2017.3447,15994.7656,16.9157,14.2547
2018-01-01 08:50:00,16.0781,21.61,1995.9669,11856.471,17.2021,10.1958
2018-01-01 09:00:00,10.8657,26.65,1367.1069,3659.5026,15.2598,2.1183
2018-01-01 09:10:00,17.3457,26.06,1972.4713,14887.8072,16.7628,13.9623
2018-01-01 09:20:00,3.8445,24.51,16.0469,162.0976,5.9335,0.6707
2018-01-01 09:30:00,5.6737,21.95,91.2698,521.0146,8.1596,0.9041
2018-01-01 09:40:00,2.8042,24.12,0.0,62.9066,0.0,0.8865
2018-01-01 09:50:00,7.419,27.72,196.3639,1164.9012,10.5138,1.4844
2018-01-01 10:00:00,8.3345,28.73,385.8098,1651.5582,11.4989,1.9401
2018-01-01 10:10:00,6.8199,22.08,89.7965,904.8762,9.5803,1.3378
2018-01-01 10:20:00,14.8919,23.3,2009.8592,9421.2025,17.1587,7.4449
2018-01-01 10:30:00,7.931,21.8,318.7767,1423.0919,11.0548,1.965
2018-01-01 10:40:00,6.9481,23.23,159.2528,956.883,9.4651,1.8177
2018-01-01 10:50:00,10.2897,23.49,1081.0412,3107.8905,14.1156,2.2864
2018-01-01 11:00:00,4.9294,27.35,0.0,341.6989,6.9233,0.3633
2018-01-01 11:10:00,14.4581,27.7,2042.926,8621.592,16.5577,5.6912
2018-01-01 11:20:00,3.6299,27.45,29.5449,136.438,4.652,0.8164
2018-01-01 11:30:00,22.611,27.2,1988.252,32977.1626,16.4404,26.0901
2018-01-01 11:40:00,13.8721,31.81,2029.4942,7615.1223,17.1525,4.3548
2018-01-01 11:50:00,5.8519,30.48,61.8914,571.6651,8.1499,1.4401
2018-01-01 12:00:00,1.0975,32.85,0.0,3.7709,0.0173,0.0203
2018-01-01 12:10:00,14.7822,34.55,2034.7506,9214.4408,16.51,6.785
2018-01-01 12:20:00,12.781,35.31,2040.6322,5955.9155,16.6256,1.834
2018-01-01 12:30:00,13.1467,35.93,2034.6609,6481.8953,16.6159,3.2308
2018-01-01 12:40:00,13.8969,36.1,2007.8514,7656.1005,16.717,5.1211
2018-01-01 12:50:00,3.6295,40.5,28.2115,136.3906,4.5838,1.427
2018-01-01 13:00:00,8.0258,41.61,348.8974,1474.7684,11.5631,1.862
2018-01-01 13:10:00,4.4811,43.94,0.0,256.6801,6.2685,1.3696
2018-01-01 13:20:00,15.8677,43.85,1968.2408,11397.1845,16.8606,9.458
2018-01-01 13:30:00,11.4838,48.28,1671.7366,4320.2068,16.3516,1.8742
2018-01-01 13:40:00,7.6707,47.61,306.8123,1287.5072,10.9902,1.7158
2018-01-01 13:50:00,3.3671,48.29,0.0,108.8954,4.5414,0.6158
2018-01-01 14:00:00,7.3434,42.53,200.2286,1129.6355,10.4621,1.9692
2018-01-01 14:10:00,7.5272,43.06,239.5151,1216.6254,10.7164,1.3904
2018-01-01 14:20:00,12.9966,41.14,1962.3293,6262.3735,16.8948,2.3077
2018-01-01 14:30:00,11.5814,40.27,1761.0541,4431.364,16.5323,2.2275
2018-01-01 14:40:00,16.4018,37.78,2011.1534,12587.1577,17.0399,10.9919
2018-01-01 14:50:00,9.3855,37.08,709.5691,2358.4129,13.3579,1.8868
2018-01-01 15:00:00,4.4429,41.65,7.3465,250.1711,6.6296,0.9337
2018-01-01 15:10:00,12.5417,41.87,1996.2671,5627.6213,16.8086,1.7584
2018-01-01 15:20:00,13.3385,39.01,2016.4345,6769.7621,16.8173,3.0009
2018-01-01 15:30:00,10.3802,39.48,1096.0036,3190.5337,14.778,2.3416
2018-01-01 15:40:00,13.5214,41.94,1986.6277,7052.0274,16.7465,4.0132
2018-01-01 15:50:00,9.5181,41.26,747.1875,2459.8074,13.4698,1.9992
